,model,model_id
661,Fusion Energi,662
662,XK-Series,663
663,quattroporte,664
664,B-Series Truck,665
665,mazda3,666
666,b200,667
667,Mazdaspeed Mazda6,668
668,Montego,669
669,g5,670
670,yaris,671
671,Rainier,672
672,TrailBlazer EXT,673
673,optra,674
674,Crossfire,675
675,magnum,676
676,savana,677
677,Sierra 1500HD,678
678,ridgelin,679
679,Savana,680
680,Zephyr,681
681,rrs,682
682,tribute,683
683,carrera,684
684,Montana SV6,685
685,wave,686
686,tt,687
687,Classic,688
688,pt,689
689,freestyle,690
690,Ascender,691
691,XG350,692
692,Q60 Coupe,693
693,Q70,694
694,QX50,695
695,pursuit,696
696,x-trail,697
697,GTO,698
698,xA,699
699,L300,700
700,Baja,701
701,9-2X,702
702,Aerio,703
703,el,704
704,rainier,705
705,Silverado 2500,706
706,Astro,707
707,Tracker,708
708,intrepid,709
709,F-150 Heritage,710
710,expedit,711
711,accord,712
712,Freelander,713
713,c240w,714
714,MR2 Spyder,715
715,RS 6,716
716,320i,717
717,Voyager,718
718,Axiom,719
719,cl55,720
720,Montero Sport,721
721,sl55,722
722,Protege,723
723,Silhouette,724
724,b1500,725
725,concorde,726
726,626,727
727,Blackwood,728
728,Rodeo Sport,729
729,LX 470,730
730,Villager,731
731,Firebird,732
732,Aztek,733
733,Aurora,734
734,CL,735
735,EuroVan,736
736,Catera,737
737,Leganza,738
738,XG300,739
739,Prelude,740
740,Trooper,741
741,Prowler,742
742,Cabrio,743
743,Integra,744
744,cavalier,745
745,astro,746
746,excurs,747
747,dakota,748
748,Cirrus,749
749,twn&country,750
750,Jimmy,751
751,safari,752
752,ranger,753
753,sonoma,754
754,Sierra 2500,755
755,yukon,756
756,Sephia,757
757,Passport,758
758,Mirage,759
759,breeze,760
760,silhouette,761
761,villager,762
762,beetle,763
763,suburban,764
764,Lumina,765
765,Amigo,766
766,mountaineer,767
767,Esteem,768
768,pathfinder,769
769,quest,770
770,Breeze,771
771,e300dt,772
772,intrigue,773
773,lumina,774
774,Cabriolet,775
775,envoy,776
776,Cutlass,777
777,GS 400,778
778,E-150,779
779,Regency,780
780,thunderbird,781
781,B-Series Pickup,782
782,legacy,783
783,corsica,784
784,bronco,785
785,Le Baron,786
786,Caprice,787
787,Pickup,788
788,century,789
789,500-Class,790
790,300-Class,791
791,previa,792
792,Murano CrossCabriolet,793
793,NV Cargo,794
794,Jetta Hybrid,795
795,S7,796
796,Encore,797
797,XTS,798
798,Black Diamond Avalanche,799
799,RLX,800
800,2 Series,801
801,M6 Gran Coupe,802
802,regal,803
803,versa,804
804,BRZ,805
805,C/V Tradesman,806
806,Model S,807
807,Beetle Convertible,808
808,Golf R,809
809,routan,810
810,TSX Sport Wagon,811
811,interstate,812
812,a6,813
813,Corvette Stingray,814
814,SS,815
815,Mazdaspeed 3,816
816,i-MiEV,817
817,F430,818
818,EX35,819
819,swift,820
820,GranSport,821
821,escalade,822
822,neon,823
823,f350,824
824,Yukon Denali,825
825,Ghibli,826
826,960,827
827,Cutlass Supreme,828
828,cougar,829
829,IS 350 C,830
830,lacrosse,831
831,tucson,832
832,323i,833
833,cobalt,834
834,x3,835
835,Mazdaspeed MX-5 Miata,836
836,Ram Cargo,837
837,Safari,838
838,Eighty-Eight,839
839,850,840
840,J30,841
841,Promaster Cargo Van,842
842,sonic,843
843,rr,844
844,1,845
845,Malibu Hybrid,846
846,350,847
847,twn/cntry,848
848,Spirit,849
849,Accord Hybrid,850
850,3 Series Gran Turismo,851
851,e,852
852,cruze,853
853,c230,854
854,crossfire,855
855,Viper,856
856,Riviera,857
857,compass,858
858,Avalon Hybrid,859
859,RX-8,860
860,V8 Vantage,861
861,Equator,862
862,sportage,863
863,C/K 3500 Series,864
864,Mark VIII,865
865,charger,866
866,GranTurismo Convertible,867
867,avenger,868
868,equinox,869
869,allure,870
870,c240s,871
871,Vitara,872
872,avalon,873
873,eurovan,874
874,siera,875
875,pathfind,876
876,Eighty-Eight Royale,877
877,cherokee,878
878,ActiveHybrid 7,879
879,aveo,880
880,GS 460,881
881,Tribute Hybrid,882
882,Aura Hybrid,883
883,tahoe,884
884,g2500,885
885,300ZX,886
886,Golf GTI,887
887,i-Series,888
888,golf,889
889,MKZ Hybrid,890
890,Macan,891
891,FX50,892
892,comm,893
893,STS-V,894
894,Windstar Cargo,895
895,CTS-V Wagon,896
896,Karma,897
897,328i,898
898,Z4 M,899
899,42c,900
900,subrbn,901
901,b2300,902
902,mountnr,903
903,Coupe,904
904,uplandr,905
905,Ram Van,906
906,Tempo,907
907,Tracer,908
908,CV Tradesman,909
909,DB9,910
910,C/K 2500 Series,911
911,i8,912
912,Rapide,913
913,Nubira,914
